roleName,menuName
Admin,Dashboard-Default
Admin,Dashboard-Locations
Admin,Auth-User
Admin,Auth-Role
Admin,Layout-warehouse
Admin,Layout-Location-Group
Admin,Layout-Location
Admin,Inventory-ItemFamily
Admin,Inventory-Item
Admin,Inventory-Inventory
Admin,Inventory-MovementPath
Admin,Inventory-CycleCount
Admin,Inventory-EmerReplConfig
Admin,Inventory-TriggerReplConfig
Admin,Inventory-ReplDisplay
Admin,Inbound-receipt
Admin,Inbound-PutawayConfig
Admin,Outbound-Order
Admin,Outbound-Shipment
Admin,Outbound-Wave
Admin,Outbound-Pick
Admin,Outbound-ShortAllocation
Admin,Outbound-Trailer
Admin,Common-Client
Admin,Common-Supplier
Admin,Common-Customer
Admin,Common-UnitOfMeasure
Admin,Util-Client
Admin,Util-TestDataInit
Admin,Util-ValidIcon