company,warehouse,workOrder,number,item,expectedQuantity,inventoryStatus,allocationStrategyType
20901,WMEC,PRD000001,1,4GBGS-19-BLUE-BODY-0009,239003,AVAL,FIRST_IN_FIRST_OUT
20901,WMEC,PRD000001,2,4GBGS-19-BLUE-Screen-0009,239003,AVAL,FIRST_IN_FIRST_OUT
20901,WMEC,PRD000001,3,C-4GBGS-19,119501,AVAL,FIRST_IN_FIRST_OUT
20901,WMEC,PRD000001,4,E33-004-004,239003,AVAL,FIRST_IN_FIRST_OUT
20901,WMEC,PRD000001,5,E33-004-005,239003,AVAL,FIRST_IN_FIRST_OUT
20901,WMEC,PRD000001,6,E40-006-001,239003,AVAL,FIRST_IN_FIRST_OUT
20901,WMEC,PRD000001,7,TAPE-CL-0.75IN,597,AVAL,FIRST_IN_FIRST_OUT
20901,WMEC,PRD000002,1,C-VL-DD-10,6000,AVAL,FIRST_IN_FIRST_OUT
20901,WMEC,PRD000002,2,L-VL-DD-10,20000,AVAL,FIRST_IN_FIRST_OUT
20901,WMEC,PRD000002,3,L-VL-DD-10-Instruction,20000,AVAL,FIRST_IN_FIRST_OUT
20901,WMEC,PRD000002,4,TAPE-CL-0.75IN,133,AVAL,FIRST_IN_FIRST_OUT
20901,WMEC,PRD000002,5,VL-DD-10-Bowl-0005,40000,AVAL,FIRST_IN_FIRST_OUT
20901,WMEC,PRD000002,6,VL-DD-10-Frame-0009,20000,AVAL,FIRST_IN_FIRST_OUT
20901,WMEC,PRD000002,7,VL-DD-10-Leg-0005,40000,AVAL,FIRST_IN_FIRST_OUT
20901,WMEC,PRD000003,1,20-RW-2,274040,AVAL,FIRST_IN_FIRST_OUT
20901,WMEC,PRD000003,2,PP-C-30-PM513209,5592,AVAL,FIRST_IN_FIRST_OUT